Session source,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
m.facebook.com,250,263,82,6.3688212927756656,0.328,3.722433460076046,0.311787072243346,979,0,0
(direct),132,236,138,25.66949152542373,1.0454545454545454,8.94915254237288,0.5847457627118644,2112,0,0
l.facebook.com,117,120,45,17.95,0.38461538461538464,4.25,0.375,510,0,0
google,78,117,90,48.29059829059829,1.1538461538461537,6.923076923076923,0.7692307692307693,810,0,0
flyer,38,69,25,7.913043478260869,0.6578947368421053,4.101449275362318,0.36231884057971014,283,0,0
facebook.com,43,43,32,4.744186046511628,0.7441860465116279,3.7674418604651163,0.7441860465116279,162,0,0
lm.facebook.com,23,26,13,9.5,0.5652173913043478,4.576923076923077,0.5,119,0,0
redemptionbarandgrill.com,22,26,18,22.653846153846153,0.8181818181818182,5.461538461538462,0.6923076923076923,142,0,0
cameronnokes.com,2,19,18,24.157894736842106,9,8.68421052631579,0.9473684210526315,165,0,0
fb_page,17,18,15,15.5,0.8823529411764706,5.388888888888889,0.8333333333333334,97,0,0
card,7,17,9,13.823529411764707,1.2857142857142858,4.411764705882353,0.5294117647058824,75,0,0
l.instagram.com,16,16,13,9.875,0.8125,5.25,0.8125,84,0,0
baidu,7,7,0,0,0,3,0,21,0,0
youtube.com,6,6,4,20.666666666666668,0.6666666666666666,6.166666666666667,0.6666666666666666,37,0,0
(not set),3,3,0,4.666666666666667,0,1.3333333333333333,0,4,0,0
search.google.com,1,2,2,18,2,14,1,28,0,0
mail.google.com,1,1,1,87,1,10,1,10,0,0
yandex.ru,1,1,1,92,1,14,1,14,0,0